"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"pipeline3","6/10/2025, 5:11:36 PM","--","5s","Manual trigger","In progress","","Original","","[]","cc07291a-f085-4883-ab4b-5dc36aa05582"
"pipeline4","6/10/2025, 5:03:19 PM","6/10/2025, 5:08:19 PM","5m 1s","Manual trigger","Failed","Operation on target Notebook1 failed: Databricks execution failed with error state: InternalError, error message: Task b80c14ef-e820-453e-87fd-fdfbad108537 failed with message: Workload failed, see run output for details. This caused all downstream tasks to get skipped.. For more details please check the run page url: https://adb-4058975669521340.0.azuredatabricks.net/?o=4058975669521340#job/582532000977091/run/396822097241585.","Original","","[]","bc8f2f51-b68b-4372-9b81-46b9237cd739"
"pipeline1","6/10/2025, 4:32:52 PM","6/10/2025, 4:33:14 PM","22s","Manual trigger","Succeeded","","Original","","[]","d3a52d1b-92a9-4c55-802e-65f9885afb78"
"pipeline2","6/10/2025, 3:57:49 PM","6/10/2025, 4:02:14 PM","4m 25s","e1a0b846-1903-40b0-8ce9-449f8aedf32f","Succeeded","","Original","","[]","7b70d331-4855-4ad0-91ae-8fa1a8cdb3e1"
"pipeline1","6/10/2025, 3:57:14 PM","6/10/2025, 3:57:48 PM","34s","5f2eb50d-9e8c-4eec-b596-18e71962335b","Succeeded","","Original","","[]","258780ca-5d63-45f0-b4ae-9703d9ed1454"
"pipeline3","6/10/2025, 3:57:11 PM","6/10/2025, 4:02:15 PM","5m 5s","Manual trigger","Succeeded","","Original","","[]","e5b27aee-ecde-44e1-b788-017480838f2a"
"pipeline2","6/10/2025, 3:56:05 PM","6/10/2025, 4:00:19 PM","4m 14s","Manual trigger","Succeeded","","Original","","[]","889db4a0-e254-4941-bc3e-1428ea7873ae"
"pipeline1","6/10/2025, 3:49:05 PM","6/10/2025, 3:49:25 PM","20s","Manual trigger","Failed","Operation on target Copy Data failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://anshstorageacc1.blob.core.windows.net/rawdata, path: employees file 1.csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:0d23fd10-001e-0002-6ff1-d905ac000000 Time:Tue, 10 Jun 2025 10:19:18 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","67cca901-de22-4ab5-9655-a27571c8e01e"
"pipeline1","6/10/2025, 3:46:59 PM","6/10/2025, 3:47:21 PM","22s","Manual trigger","Failed","Operation on target Copy Data failed: ErrorCode=AzureBlobFailedToCreateContainer,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=Unable to create Azure Blob container. Endpoint: 'https://anshstorageacc2.blob.core.windows.net/', Container Name: 's2b1'.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (409) Conflict.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=The specified container is being deleted. Try operation later.
RequestId:d9059ef3-801e-000c-41f0-d92c1c000000
Time:2025-06-10T10:17:12.9132189Z,,''Type=System.Net.WebException,Message=The remote server returned an error: (409) Conflict.,Source=System,'","Original","","[]","ec89ee5a-a3f3-49b4-a4e0-6cc3321c1e3a"
"pipeline1","6/10/2025, 3:45:39 PM","6/10/2025, 3:46:00 PM","22s","Manual trigger","Succeeded","","Original","","[]","14e4775f-f589-4dbf-b728-9309b8efaae2"
